# {"when": "2026-09-16T04:32:24+00:00", "freq_mhz": 14.1, "mode": "MD3", "agc": "GT004", "units": "uv", "emf": false, "generator": "Cushman CE-4000", "generator_accuracy_db": null, "floor_sm": 0.0, "floor_smh": 0.0, "radio_state": {"PA": "PA0;", "RA": "RA00;", "GT": "GT004;", "FA": "FA00014100000;", "MD": "MD3;"}, "n_per_point": 12, "settle_s": 1.5}
requested,dbm,entered,units,sm,smh,n_sm,n_smh,pred_sm,pred_smh
-100.0,-100.0,2.2360679663372798,uv,6.0,30.0,12,12,-91.0,-86.71428571428572
-95.0,-95.0,3.9763536239851915,uv,6.0,31.0,12,12,-91.0,-85.34285714285714
-90.0,-90.0,7.071067776566519,uv,8.0,39.0,12,12,-79.0,-74.37142857142857
-85.0,-85.0,12.57433423405795,uv,6.0,28.0,12,12,-91.0,-89.45714285714286
-80.0,-80.0,22.360679663372803,uv,6.0,31.0,12,12,-91.0,-85.34285714285714
-75.0,-75.0,39.76353623985192,uv,7.0,35.0,12,12,-85.0,-79.85714285714286
-70.0,-70.0,70.71067776566521,uv,8.0,40.0,12,12,-79.0,-73.0
-65.0,-65.0,125.7433423405795,uv,9.0,43.0,12,12,-73.0,-70.0
-60.0,-60.0,223.606796633728,uv,10.0,47.0,12,12,-68.0,-66.0
-55.0,-55.0,397.63536239851925,uv,11.0,52.0,12,12,-63.0,-61.0
-50.0,-50.0,707.1067776566521,uv,12.0,56.0,12,12,-58.0,-57.0
-45.0,-45.0,1257.433423405795,uv,13.0,62.0,12,12,-53.0,-51.0
-40.0,-40.0,2236.0679663372803,uv,13.0,64.5,12,12,-53.0,-48.5
-35.0,-35.0,3976.3536239851924,uv,16.0,79.0,12,12,-38.0,-34.0
-30.0,-30.0,7071.0677765665205,uv,17.0,82.0,12,12,-33.0,-31.0
-25.0,-25.0,12574.334234057937,uv,19.0,89.5,12,12,-23.0,-23.5
-20.0,-20.0,22360.67966337278,uv,20.0,94.0,12,12,-18.0,-19.0
-15.0,-15.0,39763.536239851885,uv,18.0,86.5,12,12,-28.0,-26.5
