# {"when": "2026-09-19T13:40:27+00:00", "freq_mhz": 14.1, "mode": "MD3", "agc": "GT002", "units": "uv", "emf": false, "generator": "Cushman CE-4000", "generator_accuracy_db": null, "floor_sm": 0.0, "floor_smh": 0.0, "radio_state": {"PA": "PA0;", "RA": "RA00;", "GT": "GT002;", "FA": "FA00014100000;", "MD": "MD3;"}, "n_per_point": 12, "settle_s": 5.0}
requested,dbm,entered,units,sm,smh,n_sm,n_smh,pred_sm,pred_smh,p3_dbm
-125.0,-125.0,0.12574334234057946,uv,0.0,0.0,12,12,-127.0,-127.85714285714286,-125.0
-120.0,-120.0,0.22360679663372796,uv,0.0,0.5,12,12,-127.0,-127.17142857142858,-120.0
-115.0,-115.0,0.39763536239851915,uv,0.0,4.0,12,12,-127.0,-122.37142857142857,-115.0
-110.0,-110.0,0.707106777656652,uv,1.0,7.0,12,12,-121.0,-118.25714285714285,-110.0
-105.0,-105.0,1.2574334234057947,uv,2.0,11.0,12,12,-115.0,-112.77142857142857,-105.0
-100.0,-100.0,2.2360679663372798,uv,3.0,15.0,12,12,-109.0,-107.28571428571428,-100.0
-95.0,-95.0,3.9763536239851915,uv,4.0,19.0,12,12,-103.0,-101.8,-95.0
-90.0,-90.0,7.071067776566519,uv,4.0,22.0,12,12,-103.0,-97.68571428571428,-90.0
-85.0,-85.0,12.57433423405795,uv,6.0,28.0,12,12,-91.0,-89.45714285714286,-85.0
-80.0,-80.0,22.360679663372803,uv,6.0,32.0,12,12,-91.0,-83.97142857142856,-80.0
-75.0,-75.0,39.76353623985192,uv,7.0,36.0,12,12,-85.0,-78.4857142857143,-75.0
-70.0,-70.0,70.71067776566521,uv,8.0,40.0,12,12,-79.0,-73.0,-70.0
-65.0,-65.0,125.7433423405795,uv,9.0,44.0,12,12,-73.0,-69.0,-65.0
-60.0,-60.0,223.606796633728,uv,10.0,49.0,12,12,-68.0,-64.0,-60.0
-55.0,-55.0,397.63536239851925,uv,11.0,53.0,12,12,-63.0,-60.0,-55.0
-50.0,-50.0,707.1067776566521,uv,12.0,57.5,12,12,-58.0,-55.5,-50.0
-45.0,-45.0,1257.433423405795,uv,13.0,64.0,12,12,-53.0,-49.0,-45.0
-40.0,-40.0,2236.0679663372803,uv,15.0,70.0,12,12,-43.0,-43.0,-40.0
-35.0,-35.0,3976.3536239851924,uv,16.0,74.5,12,12,-38.0,-38.5,-35.0
-30.0,-30.0,7071.0677765665205,uv,18.0,84.0,12,12,-28.0,-29.0,-30.0
-25.0,-25.0,12574.334234057937,uv,19.0,89.0,12,12,-23.0,-24.0,-25.0
-20.0,-20.0,22360.67966337278,uv,20.0,96.0,12,12,-18.0,-17.0,-20.0
