# {"when": "2026-09-19T13:26:29+00:00", "freq_mhz": 14.1, "mode": "MD3", "agc": "GT004", "units": "uv", "emf": false, "generator": "Cushman CE-4000", "generator_accuracy_db": null, "floor_sm": 0.0, "floor_smh": 0.0, "radio_state": {"PA": "PA0;", "RA": "RA00;", "GT": "GT004;", "FA": "FA00014100000;", "MD": "MD3;"}, "n_per_point": 12, "settle_s": 5.0}
requested,dbm,entered,units,sm,smh,n_sm,n_smh,pred_sm,pred_smh,p3_dbm
-125.0,-125.0,0.12574334234057946,uv,0.0,0.0,12,12,-127.0,-127.85714285714286,-125.0
-120.0,-120.0,0.22360679663372796,uv,0.0,0.0,12,12,-127.0,-127.85714285714286,-120.0
-115.0,-115.0,0.39763536239851915,uv,0.0,4.0,12,12,-127.0,-122.37142857142857,-115.0
-110.0,-110.0,0.707106777656652,uv,1.0,7.0,12,12,-121.0,-118.25714285714285,-110.0
-105.0,-105.0,1.2574334234057947,uv,2.0,11.0,12,12,-115.0,-112.77142857142857,-115.0
-100.0,-100.0,2.2360679663372798,uv,3.0,16.0,12,12,-109.0,-105.91428571428571,-100.0
-95.0,-95.0,3.9763536239851915,uv,4.0,20.0,12,12,-103.0,-100.42857142857143,-95.0
-90.0,-90.0,7.071067776566519,uv,5.0,24.0,12,12,-97.0,-94.94285714285715,-90.0
-85.0,-85.0,12.57433423405795,uv,5.0,27.0,12,12,-97.0,-90.82857142857142,-85.0
-80.0,-80.0,22.360679663372803,uv,6.0,30.0,12,12,-91.0,-86.71428571428572,-80.0
-75.0,-75.0,39.76353623985192,uv,7.0,35.0,12,12,-85.0,-79.85714285714286,-75.0
-70.0,-70.0,70.71067776566521,uv,8.0,39.0,12,12,-79.0,-74.37142857142857,-70.0
-65.0,-65.0,125.7433423405795,uv,9.0,44.0,12,12,-73.0,-69.0,-65.0
-60.0,-60.0,223.606796633728,uv,10.0,48.0,12,12,-68.0,-65.0,-60.0
-55.0,-55.0,397.63536239851925,uv,12.0,56.5,12,12,-58.0,-56.5,-55.0
-50.0,-50.0,707.1067776566521,uv,12.0,56.5,12,12,-58.0,-56.5,-50.0
-45.0,-45.0,1257.433423405795,uv,13.0,63.0,12,12,-53.0,-50.0,-45.0
-40.0,-40.0,2236.0679663372803,uv,15.0,70.0,12,12,-43.0,-43.0,-40.0
-35.0,-35.0,3976.3536239851924,uv,16.0,77.0,12,12,-38.0,-36.0,-35.0
-30.0,-30.0,7071.0677765665205,uv,17.0,82.5,12,12,-33.0,-30.5,-30.0
-25.0,-25.0,12574.334234057937,uv,18.0,87.0,12,12,-28.0,-26.0,-25.0
